,filename,syllabus,session_code,session_name,year,paper_number,paper_type,variant,question_number,marks,topic
129,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(a)(i),1,functions
130,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(a)(ii),1,functions
131,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(b),2,functions
132,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(c),2,functions
133,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(d),2,functions
134,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(e),2,functions
135,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,8(f),2,functions
136,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,9(a),3,trigonometry
137,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,9(b)(i),3,trigonometry
138,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,9(b)(ii),3,trigonometry
139,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,9(c),5,trigonometry
140,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,10(a),3,probability
141,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,10(b)(i),2,probability
142,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,10(b)(ii),2,probability
143,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,10(c)(i),2,probability
144,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,10(c)(ii),3,probability
145,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,11(a),3,mensuration
146,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,11(b)(i),2,mensuration
147,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,11(b)(ii),1,mensuration
148,0607_m22_qp_42.json,607,m,Mar/May,2022,4,calculator,2,11(b)(iii),3,graphing functions
149,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,1(a),1,topics in arithmetic
150,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,1(b),1,topics in arithmetic
151,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,2,1,topics in arithmetic
152,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,3(a),1,topics in arithmetic
153,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,3(b),1,topics in arithmetic
154,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,4,2,angles
155,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,5,1,probability
156,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,6,2,solving linear equations
157,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,7,2,inequalities
158,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,8(a),2,exponents and surds
159,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,8(b),2,exponents and surds
160,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,9,2,angles
161,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,10,3,Pythagoras
162,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,11,3,simultaneous equations
163,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,12,2,expanding and factorising
164,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,13(a),1,sets and Venn diagrams
165,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,13(b),1,sets and Venn diagrams
166,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,14,3,functions
167,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,15,2,expanding and factorising
168,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,16,3,mensuration
169,0607_m23_qp_22.json,607,m,Mar/May,2023,2,non_calculator,2,17,4,probability
170,0607_m23_qp_42.json,607,m,Mar/May,2023,4,calculator,2,1(a),1,statistics
